m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
1025,1100,true,0,15,3,129,25,0.193798450,matrix_norms,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.668991000,0.094498000,3.784158000,0.475708000,5.023355000,0.001190373,0.000178375,6.673433171,1.000000000,2500,3386,ok
1025,1100,true,0,15,3,129,25,0.193798450,block_krylov_maxvol,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,26.740575000,0.087155000,0.127860000,0.408421000,27.364011000,0.000676527,0.000178375,3.792725157,1.000000000,2500,3394,ok
1025,1100,true,0,15,3,129,25,0.193798450,block_krylov_maxvol,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,26.740575000,0.087155000,3.337585000,0.422157000,30.587472000,0.000367075,0.000178375,2.057886424,1.000000000,2500,3386,ok
1025,1100,true,0,16,4,65,21,0.323076923,matrix_norms,intersection_inverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,0.737772000,0.114456000,0.130747000,0.395146000,1.378121000,0.012379877,0.000058405,211.965961663,0.103790249,1764,2466,ok
1025,1100,true,0,16,4,65,21,0.323076923,matrix_norms,svd_pseudoinverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,0.737772000,0.114456000,2.979540000,0.417939000,4.249707000,0.007374259,0.000058405,126.260689459,0.174242673,1764,2466,ok
1025,1100,true,0,16,4,65,21,0.323076923,block_krylov_maxvol,intersection_inverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,16.967652000,0.087456000,0.116128000,0.389443000,17.560679000,0.000863633,0.000058405,14.786959043,1.000000000,1764,2458,ok
1025,1100,true,0,16,4,65,21,0.323076923,block_krylov_maxvol,svd_pseudoinverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,16.967652000,0.087456000,2.933532000,0.423920000,20.412560000,0.000367660,0.000058405,6.295005603,1.000000000,1764,2454,ok
1025,1100,true,0,17,4,65,12,0.184615385,matrix_norms,intersection_inverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,0.689050000,0.101050000,0.113483000,0.416925000,1.320508000,0.140588909,0.000140708,999.156953292,0.013010969,576,922,ok
1025,1100,true,0,17,4,65,12,0.184615385,matrix_norms,svd_pseudoinverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,0.689050000,0.101050000,2.203928000,0.406997000,3.401025000,0.001452811,0.000140708,10.325040323,1.000000000,576,910,ok
1025,1100,true,0,17,4,65,12,0.184615385,block_krylov_maxvol,intersection_inverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,13.020798000,0.091152000,0.107222000,0.397649000,13.616821000,0.000298354,0.000140708,2.120387021,1.000000000,576,914,ok
1025,1100,true,0,17,4,65,12,0.184615385,block_krylov_maxvol,svd_pseudoinverse,3.785571000,3.396837000,0.024486000,0.126938000,0.095350000,13.020798000,0.091152000,2.110060000,0.382621000,15.604631000,0.000243722,0.000140708,1.732120615,1.000000000,576,918,ok
